time,sitesvalue
20151225,604,584,537,418
20151226,412,394,199,93
20151227,28,28,57,84
20151228,95,74,94,204
20151229,296,262,254,494
20151230,260,14,11,15
20151231,24,18,54,142
20160101,174,106,192,278
20160102,288,226,253,402
20160103,407,182,161,236
20160104,170,27,31,14
20160105,11,12,45,95
20160106,74,25,14,12
20160107,8,9,10,14
20160108,13,12,10,125
20160109,114,22,46,190
20160110,77,28,54,55
20160111,10,9,9,13
20160112,10,12,12,16
20160113,13,32,33,92
20160114,74,118,89,121
20160115,170,63,61,134
20160116,140,111,114,143
20160117,98,18,16,13
20160118,6,7,9,13
20160119,32,76,91,100
20160120,126,122,134,134
20160121,118,109,151,145
20160122,49,7,8,9
20160123,12,8,9,12
20160124,9,10,11,28
20160125,20,34,55,56
20160126,28,21,19,88
20160127,118,41,93,167
20160128,209,141,94,118
20160129,72,56,49,49
20160130,41,59,40,68
20160131,10,8,19,77
20160201,14,14,9,12
20160202,15,15,31,70
20160203,30,28,42,48
20160204,10,10,10,13
20160205,10,8,9,10
20160206,10,32,48,79
20160207,61,32,34,80
20160208,722,353,9,31
20160209,36,49,44,68
20160210,66,70,96,143
20160211,168,154,140,126
20160212,126,130,171,180
20160213,19,8,9,10
20160214,8,9,8,8
20160215,7,7,8,12
20160216,5,9,9,12
20160217,14,73,50,67
20160218,34,7,10,20
20160219,15,24,15,8
20160220,8,8,12,30
20160221,63,78,92,125
20160222,119,120,19,24
20160223,13,8,13,12
20160224,31,63,20,13
20160225,10,34,36,20
20160226,6,31,47,63
20160227,13,16,19,40
20160228,51,54,9,9
20160229,13,14,46,61
20160301,96,107,114,177
20160302,218,207,159,150
20160303,163,250,329,362
20160304,340,292,311,282
20160305,121,62,59,61
20160306,53,34,99,126
20160307,110,26,12,10
20160308,12,11,12,14
20160309,8,13,11,12
20160310,8,9,16,16
20160311,11,12,22,44
20160312,77,100,113,140
20160313,60,12,11,31
20160314,85,94,82,64
20160315,122,110,149,179
20160316,214,219,258,304
20160317,240,241,291,315
20160318,324,310,92,31
20160319,106,60,43,56
20160320,53,78,49,81
20160321,121,144,124,138
20160322,174,139,76,64
20160323,52,8,8,10
20160324,14,8,13,26
20160325,12,17,8,30
20160326,14,8,10,12
20160327,10,14,13,30
20160328,72,91,103,60
20160329,6,15,22,38
20160330,13,8,27,59
20160331,112,147,212,126
20160401,54,61,10,6
20160402,6,8,8,8
20160403,8,6,13,37
20160404,54,66,81,86
20160405,125,113,157,72
20160406,45,104,188,221
20160407,216,121,10,11
20160408,6,9,14,47
20160409,59,69,94,53
20160410,45,59,63,48
20160411,32,34,36,56
20160412,62,74,84,83
20160413,118,175,196,21
20160414,35,16,27,26
20160415,72,72,72,71
20160416,25,50,20,16
20160417,9,10,12,10
20160418,11,13,9,28
20160419,42,78,98,80
20160420,77,70,57,74
20160421,100,138,88,48
20160422,40,32,30,15
20160423,21,17,26,40
20160424,51,67,120,102
20160425,56,93,115,99
20160426,72,66,73,68
20160427,78,83,87,109
20160428,119,96,76,52
20160429,32,77,182,193
20160430,226,184,133,129
20160501,184,203,212,138
20160502,54,49,52,62
20160503,42,22,29,28
20160504,30,15,32,42
20160505,42,55,62,93
20160506,209,20,12,36
20160507,16,19,23,31
20160508,42,73,94,44
20160509,38,43,32,31
20160510,38,29,37,58
20160511,108,150,177,160
20160512,118,16,12,27
20160513,42,54,36,34
20160514,31,33,44,52
20160515,64,32,20,52
20160516,26,52,46,23
20160517,41,60,73,58
20160518,47,70,51,60
20160519,81,106,72,72
20160520,84,112,88,68
20160521,86,98,70,39
20160522,47,43,40,50
20160523,65,86,84,78
20160524,22,33,13,20
20160525,9,14,15,18
20160526,27,19,7,17
20160527,34,55,57,50
20160528,27,45,38,45
20160529,67,24,14,32
20160530,58,60,108,123
20160531,53,37,26,30
20160601,24,24,36,39
20160602,39,56,33,42
20160603,54,80,73,106
20160604,74,102,84,67
20160605,82,65,83,50
20160606,58,96,133,106
20160607,69,35,66,84
20160608,108,149,132,220
20160609,136,108,71,59
20160610,71,70,101,57
20160611,12,16,14,29
20160612,73,110,63,42
20160613,67,49,54,64
20160614,68,40,30,25
20160615,21,24,30,27
20160616,31,35,30,32
20160617,45,26,26,36
20160618,39,46,55,69
20160619,59,79,33,106
20160620,178,102,75,118
20160621,57,57,72,43
20160622,38,48,72,55
20160623,51,88,93,66
20160624,39,8,7,7
20160625,6,10,19,12
20160626,66,47,70,54
20160627,62,62,70,54
20160628,66,44,78,124
20160629,113,125,114,135
20160630,112,85,49,87
20160701,16,9,12,23
20160702,42,88,32,34
20160703,66,86,82,118
20160704,155,185,110,77
20160705,106,106,78,87
20160706,65,82,62,63
20160707,94,126,118,100
20160708,63,83,123,92
20160709,55,83,89,86
20160710,101,140,53,53
20160711,71,110,95,75
20160712,57,54,14,14
20160713,17,27,17,33
20160714,31,33,24,40
20160715,41,27,37,38
20160716,32,30,49,57
20160717,53,74,105,90
20160718,104,108,108,103
20160719,88,172,94,110
20160720,95,47,10,7
20160721,6,12,39,64
20160722,81,94,79,81
20160723,128,138,162,159
20160724,54,54,126,83
20160725,59,52,37,32
20160726,13,34,24,34
20160727,61,60,65,65
20160728,34,36,63,100
20160729,125,136,146,122
20160730,128,166,234,54
20160731,41,64,73,99
20160801,68,66,84,106
20160802,153,78,76,102
20160803,88,93,51,57
20160804,94,111,114,94
20160805,64,80,51,76
20160806,115,112,98,100
20160807,22,22,18,28
20160808,51,42,19,38
20160809,36,40,51,40
20160810,75,96,81,87
20160811,74,93,88,83
20160812,79,113,36,27
20160813,38,30,28,19
20160814,13,18,23,44
20160815,62,18,12,15
20160816,20,23,25,30
20160817,31,44,78,112
20160818,139,101,60,57
20160819,28,14,13,32
20160820,48,76,70,70
20160821,68,54,52,61
20160822,69,52,26,37
20160823,56,60,69,94
20160824,93,79,73,90
20160825,64,10,10,11
20160826,8,8,10,22
20160827,26,13,7,21
20160828,8,9,9,22
20160829,22,14,13,28
20160830,38,24,29,40
20160831,40,20,11,10
20160901,11,6,6,12
20160902,22,15,10,12
20160903,11,16,26,37
20160904,63,119,54,57
20160905,34,38,13,40
20160906,38,21,12,24
20160907,43,51,50,28
20160908,21,29,20,30
20160909,28,20,10,24
20160910,14,12,12,32
20160911,65,23,26,37
20160912,23,34,38,50
20160913,65,100,104,81
20160914,102,136,94,90
20160915,57,74,64,148
20160916,184,178,159,80
20160917,69,58,27,36
20160918,29,30,28,26
20160919,15,10,10,26
20160920,27,19,14,41
20160921,57,83,93,80
20160922,102,94,124,146
20160923,84,122,112,114
20160924,107,66,141,201
20160925,221,160,164,130
20160926,52,34,61,97
20160927,80,13,10,10
20160928,9,10,11,37
20160929,39,43,60,83
20160930,84,76,102,138
20161001,138,163,161,167
20161002,187,182,168,209
20161003,87,132,100,137
20161004,36,23,38,31
20161005,30,51,60,90
20161006,87,75,49,53
